CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,All,California,18-24,15947
2017,All,California,25-34,28350
2017,All,California,35-44,25518
2017,All,California,45-54,27430
2017,All,California,55-64,23197
2017,All,California,65+,7235
2017,All,California,Under 18,51024
2017,All,California,Unknown,5826
2017,CA-500,Santa Clara County CoC,18-24,765
2017,CA-500,Santa Clara County CoC,25-34,1528
2017,CA-500,Santa Clara County CoC,35-44,1459
2017,CA-500,Santa Clara County CoC,45-54,1667
2017,CA-500,Santa Clara County CoC,55-64,1502
2017,CA-500,Santa Clara County CoC,65+,479
2017,CA-500,Santa Clara County CoC,Under 18,2382
2017,CA-500,Santa Clara County CoC,Unknown,115
2017,CA-501,San Francisco CoC,18-24,451
2017,CA-501,San Francisco CoC,25-34,487
2017,CA-501,San Francisco CoC,35-44,510
2017,CA-501,San Francisco CoC,45-54,586
2017,CA-501,San Francisco CoC,55-64,519
2017,CA-501,San Francisco CoC,65+,181
2017,CA-501,San Francisco CoC,Under 18,1570
2017,CA-501,San Francisco CoC,Unknown,134
2017,CA-502,Alameda County CoC,18-24,799
2017,CA-502,Alameda County CoC,25-34,933
2017,CA-502,Alameda County CoC,35-44,790
2017,CA-502,Alameda County CoC,45-54,959
2017,CA-502,Alameda County CoC,55-64,894
2017,CA-502,Alameda County CoC,65+,288
2017,CA-502,Alameda County CoC,Under 18,1919
2017,CA-502,Alameda County CoC,Unknown,141
2017,CA-503,Sacramento County CoC,18-24,924
2017,CA-503,Sacramento County CoC,25-34,1692
2017,CA-503,Sacramento County CoC,35-44,1507
2017,CA-503,Sacramento County CoC,45-54,1685
2017,CA-503,Sacramento County CoC,55-64,1209
2017,CA-503,Sacramento County CoC,65+,306
2017,CA-503,Sacramento County CoC,Under 18,3800
2017,CA-503,Sacramento County CoC,Unknown,169
2017,CA-504,Sonoma County CoC,18-24,298
2017,CA-504,Sonoma County CoC,25-34,460
2017,CA-504,Sonoma County CoC,35-44,466
2017,CA-504,Sonoma County CoC,45-54,517
2017,CA-504,Sonoma County CoC,55-64,499
2017,CA-504,Sonoma County CoC,65+,156
2017,CA-504,Sonoma County CoC,Under 18,705
2017,CA-504,Sonoma County CoC,Unknown,29
2017,CA-505,Contra Costa County CoC,18-24,346
2017,CA-505,Contra Costa County CoC,25-34,787
2017,CA-505,Contra Costa County CoC,35-44,803
2017,CA-505,Contra Costa County CoC,45-54,878
2017,CA-505,Contra Costa County CoC,55-64,792
2017,CA-505,Contra Costa County CoC,65+,271
2017,CA-505,Contra Costa County CoC,Under 18,1073
2017,CA-505,Contra Costa County CoC,Unknown,57
2017,CA-506,"Monterey, San Benito Counties CoC",18-24,118
2017,CA-506,"Monterey, San Benito Counties CoC",25-34,169
2017,CA-506,"Monterey, San Benito Counties CoC",35-44,130
2017,CA-506,"Monterey, San Benito Counties CoC",45-54,118
2017,CA-506,"Monterey, San Benito Counties CoC",55-64,118
2017,CA-506,"Monterey, San Benito Counties CoC",65+,56
2017,CA-506,"Monterey, San Benito Counties CoC",Under 18,470
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,28
2017,CA-507,Marin County CoC,18-24,103
2017,CA-507,Marin County CoC,25-34,251
2017,CA-507,Marin County CoC,35-44,281
2017,CA-507,Marin County CoC,45-54,317
2017,CA-507,Marin County CoC,55-64,286
2017,CA-507,Marin County CoC,65+,110
2017,CA-507,Marin County CoC,Under 18,293
2017,CA-507,Marin County CoC,Unknown,15
2017,CA-508,Santa Cruz County CoC,18-24,111
2017,CA-508,Santa Cruz County CoC,25-34,285
2017,CA-508,Santa Cruz County CoC,35-44,267
2017,CA-508,Santa Cruz County CoC,45-54,310
2017,CA-508,Santa Cruz County CoC,55-64,289
2017,CA-508,Santa Cruz County CoC,65+,115
2017,CA-508,Santa Cruz County CoC,Under 18,439
2017,CA-508,Santa Cruz County CoC,Unknown,42
2017,CA-509,Mendocino County CoC,18-24,88
2017,CA-509,Mendocino County CoC,25-34,126
2017,CA-509,Mendocino County CoC,35-44,128
2017,CA-509,Mendocino County CoC,45-54,146
2017,CA-509,Mendocino County CoC,55-64,119
2017,CA-509,Mendocino County CoC,65+,43
2017,CA-509,Mendocino County CoC,Under 18,60
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,18-24,542
2017,CA-510,Stanislaus County CoC,25-34,987
2017,CA-510,Stanislaus County CoC,35-44,862
2017,CA-510,Stanislaus County CoC,45-54,678
2017,CA-510,Stanislaus County CoC,55-64,482
2017,CA-510,Stanislaus County CoC,65+,134
2017,CA-510,Stanislaus County CoC,Under 18,2455
2017,CA-510,Stanislaus County CoC,Unknown,128
2017,CA-511,San Joaquin County CoC,18-24,775
2017,CA-511,San Joaquin County CoC,25-34,1649
2017,CA-511,San Joaquin County CoC,35-44,1218
2017,CA-511,San Joaquin County CoC,45-54,1044
2017,CA-511,San Joaquin County CoC,55-64,756
2017,CA-511,San Joaquin County CoC,65+,243
2017,CA-511,San Joaquin County CoC,Under 18,3834
2017,CA-511,San Joaquin County CoC,Unknown,185
2017,CA-512,San Mateo County CoC,18-24,304
2017,CA-512,San Mateo County CoC,25-34,674
2017,CA-512,San Mateo County CoC,35-44,598
2017,CA-512,San Mateo County CoC,45-54,643
2017,CA-512,San Mateo County CoC,55-64,572
2017,CA-512,San Mateo County CoC,65+,179
2017,CA-512,San Mateo County CoC,Under 18,1198
2017,CA-512,San Mateo County CoC,Unknown,79
2017,CA-513,"Kings, Tulare Counties CoC",18-24,279
2017,CA-513,"Kings, Tulare Counties CoC",25-34,587
2017,CA-513,"Kings, Tulare Counties CoC",35-44,523
2017,CA-513,"Kings, Tulare Counties CoC",45-54,419
2017,CA-513,"Kings, Tulare Counties CoC",55-64,279
2017,CA-513,"Kings, Tulare Counties CoC",65+,79
2017,CA-513,"Kings, Tulare Counties CoC",Under 18,769
2017,CA-513,"Kings, Tulare Counties CoC",Unknown,40
2017,CA-514,"Fresno, Madera Counties CoC",18-24,155
2017,CA-514,"Fresno, Madera Counties CoC",25-34,294
2017,CA-514,"Fresno, Madera Counties CoC",35-44,290
2017,CA-514,"Fresno, Madera Counties CoC",45-54,338
2017,CA-514,"Fresno, Madera Counties CoC",55-64,338
2017,CA-514,"Fresno, Madera Counties CoC",65+,90
2017,CA-514,"Fresno, Madera Counties CoC",Under 18,685
2017,CA-514,"Fresno, Madera Counties CoC",Unknown,27
2017,CA-515,Placer County CoC,18-24,94
2017,CA-515,Placer County CoC,25-34,217
2017,CA-515,Placer County CoC,35-44,223
2017,CA-515,Placer County CoC,45-54,232
2017,CA-515,Placer County CoC,55-64,198
2017,CA-515,Placer County CoC,65+,55
2017,CA-515,Placer County CoC,Under 18,253
2017,CA-515,Placer County CoC,Unknown,17
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,22
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,58
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,43
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,23
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,20
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,74
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,*
2017,CA-517,Napa County CoC,18-24,85
2017,CA-517,Napa County CoC,25-34,199
2017,CA-517,Napa County CoC,35-44,156
2017,CA-517,Napa County CoC,45-54,183
2017,CA-517,Napa County CoC,55-64,147
2017,CA-517,Napa County CoC,65+,27
2017,CA-517,Napa County CoC,Under 18,174
2017,CA-517,Napa County CoC,Unknown,*
2017,CA-518,Solano County CoC,18-24,73
2017,CA-518,Solano County CoC,25-34,161
2017,CA-518,Solano County CoC,35-44,146
2017,CA-518,Solano County CoC,45-54,157
2017,CA-518,Solano County CoC,55-64,176
2017,CA-518,Solano County CoC,65+,72
2017,CA-518,Solano County CoC,Under 18,205
2017,CA-518,Solano County CoC,Unknown,23
2017,CA-519,Butte County CoC,18-24,125
2017,CA-519,Butte County CoC,25-34,286
2017,CA-519,Butte County CoC,35-44,210
2017,CA-519,Butte County CoC,45-54,208
2017,CA-519,Butte County CoC,55-64,193
2017,CA-519,Butte County CoC,65+,55
2017,CA-519,Butte County CoC,Under 18,306
2017,CA-519,Butte County CoC,Unknown,17
2017,CA-520,Merced County CoC,18-24,42
2017,CA-520,Merced County CoC,25-34,82
2017,CA-520,Merced County CoC,35-44,118
2017,CA-520,Merced County CoC,45-54,138
2017,CA-520,Merced County CoC,55-64,161
2017,CA-520,Merced County CoC,65+,37
2017,CA-520,Merced County CoC,Under 18,33
2017,CA-520,Merced County CoC,Unknown,*
2017,CA-521,Yolo County CoC,18-24,42
2017,CA-521,Yolo County CoC,25-34,110
2017,CA-521,Yolo County CoC,35-44,92
2017,CA-521,Yolo County CoC,45-54,90
2017,CA-521,Yolo County CoC,55-64,64
2017,CA-521,Yolo County CoC,65+,*
2017,CA-521,Yolo County CoC,Under 18,127
2017,CA-521,Yolo County CoC,Unknown,*
2017,CA-522,Humboldt County CoC,18-24,81
2017,CA-522,Humboldt County CoC,25-34,153
2017,CA-522,Humboldt County CoC,35-44,129
2017,CA-522,Humboldt County CoC,45-54,118
2017,CA-522,Humboldt County CoC,55-64,126
2017,CA-522,Humboldt County CoC,65+,40
2017,CA-522,Humboldt County CoC,Under 18,300
2017,CA-522,Humboldt County CoC,Unknown,22
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,23
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,32
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,20
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,115
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2017,CA-525,El Dorado County CoC,25-34,*
2017,CA-525,El Dorado County CoC,35-44,*
2017,CA-525,El Dorado County CoC,45-54,*
2017,CA-525,El Dorado County CoC,55-64,*
2017,CA-525,El Dorado County CoC,Under 18,125
2017,CA-525,El Dorado County CoC,Unknown,*
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,39
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,92
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,78
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,66
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,45
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,13
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,186
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Unknown,12
2017,CA-531,Nevada County CoC,18-24,42
2017,CA-531,Nevada County CoC,25-34,80
2017,CA-531,Nevada County CoC,35-44,93
2017,CA-531,Nevada County CoC,45-54,88
2017,CA-531,Nevada County CoC,55-64,76
2017,CA-531,Nevada County CoC,65+,24
2017,CA-531,Nevada County CoC,Under 18,62
2017,CA-531,Nevada County CoC,Unknown,*
2017,CA-600,Los Angeles County CoC,18-24,5966
2017,CA-600,Los Angeles County CoC,25-34,9118
2017,CA-600,Los Angeles County CoC,35-44,8069
2017,CA-600,Los Angeles County CoC,45-54,9081
2017,CA-600,Los Angeles County CoC,55-64,7521
2017,CA-600,Los Angeles County CoC,65+,2247
2017,CA-600,Los Angeles County CoC,Under 18,12352
2017,CA-600,Los Angeles County CoC,Unknown,1855
2017,CA-601,San Diego County CoC,18-24,720
2017,CA-601,San Diego County CoC,25-34,1571
2017,CA-601,San Diego County CoC,35-44,1714
2017,CA-601,San Diego County CoC,45-54,2119
2017,CA-601,San Diego County CoC,55-64,2143
2017,CA-601,San Diego County CoC,65+,562
2017,CA-601,San Diego County CoC,Under 18,2782
2017,CA-601,San Diego County CoC,Unknown,143
2017,CA-602,Orange County CoC,18-24,551
2017,CA-602,Orange County CoC,25-34,1249
2017,CA-602,Orange County CoC,35-44,1196
2017,CA-602,Orange County CoC,45-54,1277
2017,CA-602,Orange County CoC,55-64,1056
2017,CA-602,Orange County CoC,65+,502
2017,CA-602,Orange County CoC,Under 18,2815
2017,CA-602,Orange County CoC,Unknown,1989
2017,CA-603,Santa Barbara County CoC,18-24,182
2017,CA-603,Santa Barbara County CoC,25-34,506
2017,CA-603,Santa Barbara County CoC,35-44,460
2017,CA-603,Santa Barbara County CoC,45-54,516
2017,CA-603,Santa Barbara County CoC,55-64,478
2017,CA-603,Santa Barbara County CoC,65+,174
2017,CA-603,Santa Barbara County CoC,Under 18,521
2017,CA-603,Santa Barbara County CoC,Unknown,30
2017,CA-604,Kern County CoC,18-24,357
2017,CA-604,Kern County CoC,25-34,717
2017,CA-604,Kern County CoC,35-44,552
2017,CA-604,Kern County CoC,45-54,550
2017,CA-604,Kern County CoC,55-64,339
2017,CA-604,Kern County CoC,65+,109
2017,CA-604,Kern County CoC,Under 18,1941
2017,CA-604,Kern County CoC,Unknown,108
2017,CA-606,Long Beach CoC (Los Angeles County),18-24,118
2017,CA-606,Long Beach CoC (Los Angeles County),25-34,373
2017,CA-606,Long Beach CoC (Los Angeles County),35-44,305
2017,CA-606,Long Beach CoC (Los Angeles County),45-54,437
2017,CA-606,Long Beach CoC (Los Angeles County),55-64,472
2017,CA-606,Long Beach CoC (Los Angeles County),65+,162
2017,CA-606,Long Beach CoC (Los Angeles County),Under 18,763
