CALENDAR_YEAR,LOCATION_ID,LOCATION,RACE,RACE ALONE OR IN COMBINATION,EXPERIENCING_HOMELESSNESS_CNT
2017,All,California,"American Indian, Alaska Native, or Indigenous",Race Alone,1874
2017,All,California,"American Indian, Alaska Native, or Indigenous",Race Combination,7546
2017,All,California,Asian or Asian American,Race Alone,2734
2017,All,California,Asian or Asian American,Race Combination,1558
2017,All,California,"Black, African American, or African",Race Alone,54661
2017,All,California,"Black, African American, or African",Race Combination,7815
2017,All,California,Hispanic/Latina/e/o,Race Alone,3249
2017,All,California,Hispanic/Latina/e/o,Race Combination,56527
2017,All,California,Native Hawaiian or Pacific Islander,Race Alone,1973
2017,All,California,Native Hawaiian or Pacific Islander,Race Combination,1856
2017,All,California,White,Race Alone,51011
2017,All,California,White,Race Combination,53493
2017,All,California,Multiple Race,Race Alone,62435
2017,All,California,Multiple Race,Race Combination,62435
2017,CA-500,Santa Clara County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,117
2017,CA-500,Santa Clara County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,855
2017,CA-500,Santa Clara County CoC,Asian or Asian American,Race Alone,378
2017,CA-500,Santa Clara County CoC,Asian or Asian American,Race Combination,132
2017,CA-500,Santa Clara County CoC,"Black, African American, or African",Race Alone,1376
2017,CA-500,Santa Clara County CoC,"Black, African American, or African",Race Combination,369
2017,CA-500,Santa Clara County CoC,Hispanic/Latina/e/o,Race Alone,225
2017,CA-500,Santa Clara County CoC,Hispanic/Latina/e/o,Race Combination,4558
2017,CA-500,Santa Clara County CoC,Native Hawaiian or Pacific Islander,Race Alone,176
2017,CA-500,Santa Clara County CoC,Native Hawaiian or Pacific Islander,Race Combination,176
2017,CA-500,Santa Clara County CoC,White,Race Alone,2468
2017,CA-500,Santa Clara County CoC,White,Race Combination,4127
2017,CA-500,Santa Clara County CoC,Multiple Race,Race Alone,4859
2017,CA-500,Santa Clara County CoC,Multiple Race,Race Combination,4859
2017,CA-501,San Francisco CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,72
2017,CA-501,San Francisco CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,309
2017,CA-501,San Francisco CoC,Asian or Asian American,Race Alone,173
2017,CA-501,San Francisco CoC,Asian or Asian American,Race Combination,55
2017,CA-501,San Francisco CoC,"Black, African American, or African",Race Alone,1595
2017,CA-501,San Francisco CoC,"Black, African American, or African",Race Combination,231
2017,CA-501,San Francisco CoC,Hispanic/Latina/e/o,Race Alone,187
2017,CA-501,San Francisco CoC,Hispanic/Latina/e/o,Race Combination,1009
2017,CA-501,San Francisco CoC,Native Hawaiian or Pacific Islander,Race Alone,95
2017,CA-501,San Francisco CoC,Native Hawaiian or Pacific Islander,Race Combination,64
2017,CA-501,San Francisco CoC,White,Race Alone,811
2017,CA-501,San Francisco CoC,White,Race Combination,762
2017,CA-501,San Francisco CoC,Multiple Race,Race Alone,1150
2017,CA-501,San Francisco CoC,Multiple Race,Race Combination,1150
2017,CA-502,Alameda County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,68
2017,CA-502,Alameda County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,405
2017,CA-502,Alameda County CoC,Asian or Asian American,Race Alone,174
2017,CA-502,Alameda County CoC,Asian or Asian American,Race Combination,118
2017,CA-502,Alameda County CoC,"Black, African American, or African",Race Alone,3482
2017,CA-502,Alameda County CoC,"Black, African American, or African",Race Combination,610
2017,CA-502,Alameda County CoC,Hispanic/Latina/e/o,Race Alone,36
2017,CA-502,Alameda County CoC,Hispanic/Latina/e/o,Race Combination,1243
2017,CA-502,Alameda County CoC,Native Hawaiian or Pacific Islander,Race Alone,71
2017,CA-502,Alameda County CoC,Native Hawaiian or Pacific Islander,Race Combination,150
2017,CA-502,Alameda County CoC,White,Race Alone,984
2017,CA-502,Alameda County CoC,White,Race Combination,1139
2017,CA-502,Alameda County CoC,Multiple Race,Race Alone,1696
2017,CA-502,Alameda County CoC,Multiple Race,Race Combination,1696
2017,CA-503,Sacramento County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,146
2017,CA-503,Sacramento County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,483
2017,CA-503,Sacramento County CoC,Asian or Asian American,Race Alone,124
2017,CA-503,Sacramento County CoC,Asian or Asian American,Race Combination,107
2017,CA-503,Sacramento County CoC,"Black, African American, or African",Race Alone,4721
2017,CA-503,Sacramento County CoC,"Black, African American, or African",Race Combination,914
2017,CA-503,Sacramento County CoC,Hispanic/Latina/e/o,Race Alone,27
2017,CA-503,Sacramento County CoC,Hispanic/Latina/e/o,Race Combination,1919
2017,CA-503,Sacramento County CoC,Native Hawaiian or Pacific Islander,Race Alone,153
2017,CA-503,Sacramento County CoC,Native Hawaiian or Pacific Islander,Race Combination,126
2017,CA-503,Sacramento County CoC,White,Race Alone,3348
2017,CA-503,Sacramento County CoC,White,Race Combination,2006
2017,CA-503,Sacramento County CoC,Multiple Race,Race Alone,2560
2017,CA-503,Sacramento County CoC,Multiple Race,Race Combination,2560
2017,CA-504,Sonoma County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,70
2017,CA-504,Sonoma County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,487
2017,CA-504,Sonoma County CoC,Asian or Asian American,Race Alone,24
2017,CA-504,Sonoma County CoC,Asian or Asian American,Race Combination,36
2017,CA-504,Sonoma County CoC,"Black, African American, or African",Race Alone,206
2017,CA-504,Sonoma County CoC,"Black, African American, or African",Race Combination,102
2017,CA-504,Sonoma County CoC,Hispanic/Latina/e/o,Race Alone,30
2017,CA-504,Sonoma County CoC,Hispanic/Latina/e/o,Race Combination,845
2017,CA-504,Sonoma County CoC,Native Hawaiian or Pacific Islander,Race Alone,32
2017,CA-504,Sonoma County CoC,Native Hawaiian or Pacific Islander,Race Combination,47
2017,CA-504,Sonoma County CoC,White,Race Alone,1687
2017,CA-504,Sonoma County CoC,White,Race Combination,694
2017,CA-504,Sonoma County CoC,Multiple Race,Race Alone,1016
2017,CA-504,Sonoma County CoC,Multiple Race,Race Combination,1016
2017,CA-505,Contra Costa County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,50
