,AGE,GENDER,VETERAN,INCOME,NIGHTS,substanceabuse,completed,probation,assistancetype,required,AT_RISK_OF_HOMELESSNESS,INCOME_PER_NIGHT,AGE_GROUP
0,56,Female,No,47500,208,1,0,0,noassistance,1,0,228.37,56-70
1,69,Male,No,12500,254,0,1,1,tempassistance,0,0,49.21,56-70
2,46,Female,No,40000,221,0,1,1,permassistance,0,0,181.0,41-55
3,32,Male,No,0,262,1,0,0,noassistance,0,0,0.0,26-40
4,60,Female,No,30000,331,0,1,0,tempassistance,1,0,90.63,56-70
5,25,Female,No,49000,344,1,1,0,tempassistance,1,0,142.44,18-25
6,38,Female,No,0,259,1,1,0,noassistance,1,0,0.0,26-40
7,56,Female,No,0,308,0,0,1,tempassistance,1,0,0.0,56-70
8,36,Male,No,15000,74,1,1,0,noassistance,1,0,202.7,26-40
9,40,Female,No,0,125,0,0,0,noassistance,1,0,0.0,26-40
10,28,Male,No,34500,188,1,1,0,permassistance,1,1,183.51,26-40
11,28,Male,No,45000,254,0,0,0,permassistance,1,0,177.17,26-40
12,41,Male,Yes,15000,321,1,1,0,noassistance,1,0,46.73,41-55
13,53,Male,No,4000,308,0,1,1,tempassistance,1,0,12.99,41-55
14,57,Female,No,15000,235,1,1,0,noassistance,1,0,63.83,56-70
15,41,Female,No,33000,250,0,1,0,noassistance,1,0,132.0,41-55
16,20,Male,No,0,332,0,0,1,tempassistance,0,1,0.0,18-25
17,39,Male,No,24500,345,0,1,0,noassistance,0,0,71.01,26-40
18,19,Male,No,26000,72,1,1,1,tempassistance,1,0,361.11,18-25
19,41,Male,No,27500,235,0,0,0,tempassistance,1,0,117.02,41-55
20,61,Female,No,3000,324,0,1,1,noassistance,1,1,9.26,56-70
21,47,Female,No,32500,156,1,1,0,noassistance,1,0,208.33,41-55
22,55,Male,Yes,0,115,1,1,1,noassistance,1,1,0.0,41-55
23,19,Male,No,0,313,0,1,0,tempassistance,1,1,0.0,18-25
24,38,Female,No,42500,228,1,1,0,noassistance,1,0,186.4,26-40
25,50,Male,No,34000,322,0,1,0,tempassistance,1,0,105.59,41-55
26,29,Female,No,0,346,1,1,0,noassistance,1,0,0.0,26-40
27,39,Female,No,3500,245,1,1,0,noassistance,0,0,14.29,26-40
28,61,Male,No,1000,306,0,1,1,noassistance,0,0,3.27,56-70
29,42,Male,Yes,4500,14,0,1,0,noassistance,1,0,321.43,41-55
30,66,Male,No,3000,16,0,0,0,noassistance,0,0,187.5,56-70
31,44,Female,No,0,42,0,0,0,noassistance,0,0,0.0,41-55
32,59,Female,No,16500,110,1,1,1,noassistance,0,0,150.0,56-70
33,45,Male,No,33500,278,0,1,0,noassistance,0,0,120.5,41-55
34,33,Female,No,25500,324,1,0,1,noassistance,0,0,78.7,26-40
35,32,Male,No,30000,19,0,0,0,noassistance,1,0,1578.95,26-40
36,64,Male,No,0,66,1,0,0,noassistance,1,0,0.0,56-70
37,68,Male,No,47000,167,1,1,0,tempassistance,0,0,281.44,56-70
38,61,Female,No,40000,73,1,1,0,tempassistance,1,0,547.95,56-70
39,69,Male,No,38000,310,0,1,0,noassistance,0,0,122.58,56-70
40,20,Female,No,39000,112,0,0,0,permassistance,0,0,348.21,18-25
41,54,Female,No,46000,274,0,0,0,noassistance,1,0,167.88,41-55
42,68,Female,No,22000,85,0,0,0,tempassistance,1,0,258.82,56-70
43,24,Female,No,500,139,0,0,1,tempassistance,1,0,3.6,18-25
44,38,Male,No,26500,39,1,1,0,noassistance,1,0,679.49,26-40
45,26,Female,No,34000,105,0,0,0,noassistance,1,0,323.81,26-40
46,56,Female,No,34000,324,0,0,0,tempassistance,1,0,104.94,56-70
47,35,Male,Yes,20500,281,0,0,0,noassistance,1,1,72.95,26-40
48,21,Female,No,0,123,0,0,0,noassistance,1,0,0.0,18-25
49,42,Male,No,11000,218,0,0,0,tempassistance,1,0,50.46,41-55
50,31,Female,No,45500,61,1,0,1,tempassistance,0,0,745.9,26-40
51,67,Female,No,24500,100,0,0,1,tempassistance,0,0,245.0,56-70
52,26,Male,Yes,21500,307,1,0,0,tempassistance,1,0,70.03,26-40
53,43,Female,No,4500,354,0,0,0,permassistance,1,0,12.71,41-55
54,19,Male,No,11000,204,1,1,0,tempassistance,0,0,53.92,18-25
55,37,Female,No,43500,258,0,1,1,tempassistance,1,0,168.6,26-40
56,45,Female,No,29500,5,1,1,0,noassistance,1,0,5900.0,41-55
57,64,Female,No,37000,197,0,1,0,noassistance,1,0,187.82,56-70
58,24,Female,No,16000,180,0,1,0,noassistance,1,0,88.89,18-25
59,61,Female,No,27000,342,0,0,0,tempassistance,1,0,78.95,56-70
60,25,Male,No,3500,133,1,0,0,noassistance,1,0,26.32,18-25
61,64,Female,No,32000,324,1,0,0,noassistance,1,1,98.77,56-70
62,52,Female,No,14500,253,0,0,0,noassistance,1,0,57.31,41-55
63,31,Female,No,15500,265,0,1,0,noassistance,1,0,58.49,26-40
64,34,Male,No,28500,93,0,0,0,noassistance,1,0,306.45,26-40
65,53,Male,No,46500,150,0,1,0,noassistance,1,0,310.0,41-55
66,67,Male,No,0,138,0,0,1,noassistance,1,0,0.0,56-70
67,57,Male,Yes,39500,208,0,1,0,tempassistance,0,0,189.9,56-70
68,21,Female,No,6000,125,1,1,0,tempassistance,1,0,48.0,18-25
69,19,Female,No,15500,234,1,1,0,tempassistance,1,0,66.24,18-25
70,23,Male,No,0,61,0,1,1,tempassistance,1,0,0.0,18-25
71,59,Male,Yes,6500,307,0,0,0,tempassistance,0,0,21.17,56-70
72,21,Female,No,19000,266,0,1,1,noassistance,0,0,71.43,18-25
73,46,Female,No,0,134,0,0,0,tempassistance,1,0,0.0,41-55
74,35,Other,No,18500,318,0,1,1,noassistance,1,0,58.18,26-40
75,43,Male,No,45500,113,0,0,1,noassistance,1,0,402.65,41-55
76,61,Female,No,0,191,1,0,0,tempassistance,1,0,0.0,56-70
